Team,Year,Wins,Playoff Wins,SuperBowl Win
bears,2019,8,0,0
bears,2018,12,0,0
bears,2017,5,0,0
bears,2016,3,0,0
bears,2015,6,0,0
bears,2014,5,0,0
bears,2013,8,0,0
bears,2012,10,0,0
bears,2011,8,0,0
bears,2010,11,2,0
bears,2009,7,0,0
bears,2008,9,0,0
bears,2007,7,0,0
bears,2006,13,3,0
bears,2005,11,1,0
bengals,2019,2,0,0
bengals,2018,6,0,0
bengals,2017,7,0,0
bengals,2016,6,0,0
bengals,2015,12,0,0
bengals,2014,10,0,0
bengals,2013,11,0,0
bengals,2012,10,0,0
bengals,2011,9,0,0
bengals,2010,4,0,0
bengals,2009,10,0,0
bengals,2008,4,0,0
bengals,2007,7,0,0
bengals,2006,8,0,0
bengals,2005,11,0,0
bills,2019,10,0,0
bills,2018,6,0,0
bills,2017,9,0,0
bills,2016,7,0,0
bills,2015,8,0,0
bills,2014,9,0,0
bills,2013,6,0,0
bills,2012,6,0,0
bills,2011,6,0,0
bills,2010,4,0,0
bills,2009,6,0,0
bills,2008,7,0,0
bills,2007,7,0,0
bills,2006,7,0,0
bills,2005,5,0,0
broncos,2019,7,0,0
broncos,2018,6,0,0
broncos,2017,5,0,0
broncos,2016,9,0,0
broncos,2015,12,4,1
broncos,2014,12,1,0
broncos,2013,13,2,0
broncos,2012,13,1,0
broncos,2011,8,1,0
broncos,2010,4,0,0
broncos,2009,8,0,0
broncos,2008,8,0,0
broncos,2007,7,0,0
broncos,2006,9,0,0
broncos,2005,13,2,0
browns,2019,6,0,0
browns,2018,7,0,0
browns,2017,0,0,0
browns,2016,1,0,0
browns,2015,3,0,0
browns,2014,7,0,0
browns,2013,4,0,0
browns,2012,5,0,0
browns,2011,4,0,0
browns,2010,5,0,0
browns,2009,5,0,0
browns,2008,4,0,0
browns,2007,10,0,0
browns,2006,4,0,0
browns,2005,6,0,0
buccaneers,2019,7,0,0
buccaneers,2018,5,0,0
buccaneers,2017,5,0,0
buccaneers,2016,9,0,0
buccaneers,2015,6,0,0
buccaneers,2014,2,0,0
buccaneers,2013,4,0,0
buccaneers,2012,7,0,0
buccaneers,2011,4,0,0
buccaneers,2010,10,0,0
buccaneers,2009,3,0,0
buccaneers,2008,9,0,0
buccaneers,2007,9,0,0
buccaneers,2006,4,0,0
buccaneers,2005,11,0,0
cardinals,2019,5,0,0
cardinals,2018,3,0,0
cardinals,2017,8,0,0
cardinals,2016,7,0,0
cardinals,2015,13,2,0
cardinals,2014,11,0,0
cardinals,2013,10,0,0
cardinals,2012,5,0,0
cardinals,2011,8,0,0
cardinals,2010,5,0,0
cardinals,2009,10,1,0
cardinals,2008,9,3,0
cardinals,2007,8,0,0
cardinals,2006,5,0,0
cardinals,2005,5,0,0
chargers,2019,5,0,0
chargers,2018,12,1,0
chargers,2017,9,0,0
chargers,2016,5,0,0
chargers,2015,4,0,0
chargers,2014,9,0,0
chargers,2013,9,1,0
chargers,2012,7,0,0
chargers,2011,8,0,0
chargers,2010,9,0,0
chargers,2009,13,1,0
chargers,2008,8,1,0
chargers,2007,11,2,0
chargers,2006,14,1,0
chargers,2005,9,0,0
chiefs,2019,12,4,1
chiefs,2018,12,2,0
chiefs,2017,10,0,0
chiefs,2016,12,1,0
chiefs,2015,11,1,0
chiefs,2014,9,0,0
chiefs,2013,11,0,0
chiefs,2012,2,0,0
chiefs,2011,7,0,0
chiefs,2010,10,0,0
chiefs,2009,4,0,0
chiefs,2008,2,0,0
chiefs,2007,4,0,0
chiefs,2006,9,0,0
chiefs,2005,10,0,0
colts,2019,7,0,0
colts,2018,10,1,0
colts,2017,4,0,0
colts,2016,8,0,0
colts,2015,8,0,0
colts,2014,11,2,0
colts,2013,11,1,0
colts,2012,11,0,0
colts,2011,2,0,0
colts,2010,10,0,0
colts,2009,14,3,0
colts,2008,12,0,0
colts,2007,13,1,0
colts,2006,12,4,1
colts,2005,14,1,0
cowboys,2019,8,0,0
cowboys,2018,10,1,0
cowboys,2017,9,0,0
cowboys,2016,13,1,0
cowboys,2015,4,0,0
cowboys,2014,12,1,0
cowboys,2013,8,0,0
cowboys,2012,8,0,0
cowboys,2011,8,0,0
cowboys,2010,6,0,0
cowboys,2009,11,1,0
cowboys,2008,9,0,0
cowboys,2007,13,1,0
cowboys,2006,9,0,0
cowboys,2005,9,0,0
dolphins,2019,5,0,0
dolphins,2018,7,0,0
dolphins,2017,6,0,0
dolphins,2016,10,0,0
dolphins,2015,6,0,0
dolphins,2014,8,0,0
dolphins,2013,8,0,0
dolphins,2012,7,0,0
dolphins,2011,6,0,0
dolphins,2010,7,0,0
dolphins,2009,7,0,0
dolphins,2008,11,0,0
dolphins,2007,1,0,0
dolphins,2006,6,0,0
dolphins,2005,9,0,0
eagles,2019,9,0,0
eagles,2018,9,1,0
eagles,2017,13,4,1
eagles,2016,7,0,0
eagles,2015,7,0,0
eagles,2014,10,0,0
eagles,2013,10,0,0
eagles,2012,4,0,0
eagles,2011,8,0,0
eagles,2010,10,0,0
eagles,2009,11,0,0
eagles,2008,9,2,0
eagles,2007,8,0,0
eagles,2006,10,1,0
eagles,2005,6,0,0
falcons,2019,7,0,0
falcons,2018,7,0,0
falcons,2017,10,1,0
falcons,2016,11,3,0
falcons,2015,8,0,0
falcons,2014,6,0,0
falcons,2013,4,0,0
falcons,2012,13,2,0
falcons,2011,10,0,0
falcons,2010,13,1,0
falcons,2009,9,0,0
falcons,2008,11,0,0
falcons,2007,4,0,0
falcons,2006,7,0,0
falcons,2005,8,0,0
49ers,2019,13,3,0
49ers,2018,4,0,0
49ers,2017,6,0,0
49ers,2016,2,0,0
49ers,2015,5,0,0
49ers,2014,8,0,0
49ers,2013,12,2,0
49ers,2012,11,3,0
49ers,2011,13,2,0
49ers,2010,6,0,0
49ers,2009,8,0,0
49ers,2008,7,0,0
49ers,2007,5,0,0
49ers,2006,7,0,0
49ers,2005,4,0,0
giants,2019,4,0,0
giants,2018,5,0,0
giants,2017,3,0,0
giants,2016,11,0,0
giants,2015,6,0,0
giants,2014,6,0,0
giants,2013,7,0,0
giants,2012,9,0,0
giants,2011,9,4,1
giants,2010,10,0,0
giants,2009,8,0,0
giants,2008,12,1,0
giants,2007,10,4,1
giants,2006,8,0,0
giants,2005,11,0,0
jaguars,2019,6,0,0
jaguars,2018,5,0,0
jaguars,2017,10,2,0
jaguars,2016,3,0,0
jaguars,2015,5,0,0
jaguars,2014,3,0,0
jaguars,2013,4,0,0
jaguars,2012,2,0,0
jaguars,2011,5,0,0
jaguars,2010,8,0,0
jaguars,2009,7,0,0
jaguars,2008,5,0,0
jaguars,2007,11,1,0
jaguars,2006,8,0,0
jaguars,2005,12,0,0
jets,2019,7,0,0
jets,2018,4,0,0
jets,2017,5,0,0
jets,2016,5,0,0
jets,2015,10,0,0
jets,2014,4,0,0
jets,2013,8,0,0
jets,2012,6,0,0
jets,2011,8,0,0
jets,2010,11,2,0
jets,2009,9,2,0
jets,2008,9,0,0
jets,2007,4,0,0
jets,2006,10,0,0
jets,2005,4,0,0
lions,2019,3,0,0
lions,2018,6,0,0
lions,2017,9,0,0
lions,2016,9,0,0
lions,2015,7,0,0
lions,2014,11,0,0
lions,2013,7,0,0
lions,2012,4,0,0
lions,2011,10,0,0
lions,2010,6,0,0
lions,2009,2,0,0
lions,2008,0,0,0
lions,2007,7,0,0
lions,2006,3,0,0
lions,2005,5,0,0
packers,2019,13,2,0
packers,2018,6,0,0
packers,2017,7,0,0
packers,2016,10,2,0
packers,2015,10,1,0
packers,2014,12,2,0
packers,2013,8,0,0
packers,2012,11,1,0
packers,2011,15,1,0
packers,2010,10,4,1
packers,2009,11,0,0
packers,2008,6,0,0
packers,2007,13,2,0
packers,2006,8,0,0
packers,2005,4,0,0
panthers,2019,5,0,0
panthers,2018,7,0,0
panthers,2017,11,0,0
panthers,2016,6,0,0
panthers,2015,15,3,0
panthers,2014,7,1,0
panthers,2013,12,1,0
panthers,2012,7,0,0
panthers,2011,6,0,0
panthers,2010,2,0,0
panthers,2009,8,0,0
panthers,2008,12,1,0
panthers,2007,7,0,0
panthers,2006,8,0,0
panthers,2005,11,2,0
patriots,2019,12,0,0
patriots,2018,11,4,1
patriots,2017,13,3,0
patriots,2016,14,4,1
patriots,2015,12,2,0
patriots,2014,12,4,1
patriots,2013,12,2,0
patriots,2012,12,2,0
patriots,2011,13,3,0
patriots,2010,14,1,0
patriots,2009,10,0,0
patriots,2008,11,0,0
patriots,2007,16,3,0
patriots,2006,12,2,0
patriots,2005,10,1,0
ravens,2019,14,1,0
ravens,2018,10,0,0
ravens,2017,9,0,0
ravens,2016,8,0,0
ravens,2015,5,0,0
ravens,2014,10,1,0
ravens,2013,8,0,0
ravens,2012,10,4,1
ravens,2011,12,2,0
ravens,2010,12,1,0
ravens,2009,9,1,0
ravens,2008,11,2,0
ravens,2007,5,0,0
ravens,2006,13,1,0
ravens,2005,6,0,0
rams,2019,9,0,0
rams,2018,13,3,0
rams,2017,11,0,0
rams,2016,4,0,0
rams,2015,7,0,0
rams,2014,6,0,0
rams,2013,7,0,0
rams,2012,7,0,0
rams,2011,2,0,0
rams,2010,7,0,0
rams,2009,1,0,0
rams,2008,2,0,0
rams,2007,3,0,0
rams,2006,8,0,0
rams,2005,6,0,0
raiders,2019,7,0,0
raiders,2018,4,0,0
raiders,2017,6,0,0
raiders,2016,12,0,0
raiders,2015,7,0,0
raiders,2014,3,0,0
raiders,2013,4,0,0
raiders,2012,4,0,0
raiders,2011,8,0,0
raiders,2010,8,0,0
raiders,2009,5,0,0
raiders,2008,5,0,0
raiders,2007,4,0,0
raiders,2006,2,0,0
raiders,2005,4,0,0
redskins,2019,3,0,0
redskins,2018,7,0,0
redskins,2017,7,0,0
redskins,2016,8,0,0
redskins,2015,9,0,0
redskins,2014,4,0,0
redskins,2013,3,0,0
redskins,2012,10,0,0
redskins,2011,5,0,0
redskins,2010,6,0,0
redskins,2009,4,0,0
redskins,2008,8,0,0
redskins,2007,9,0,0
redskins,2006,5,0,0
redskins,2005,10,1,0
saints,2019,13,0,0
saints,2018,13,2,0
saints,2017,11,1,0
saints,2016,7,0,0
saints,2015,7,0,0
saints,2014,7,0,0
saints,2013,11,1,0
saints,2012,7,0,0
saints,2011,13,1,0
saints,2010,11,0,0
saints,2009,13,4,1
saints,2008,8,0,0
saints,2007,7,0,0
saints,2006,10,2,0
saints,2005,3,0,0
seahawks,2019,11,1,0
seahawks,2018,10,0,0
seahawks,2017,9,0,0
seahawks,2016,10,1,0
seahawks,2015,10,1,0
seahawks,2014,12,3,0
seahawks,2013,13,2,0
seahawks,2012,11,1,0
seahawks,2011,7,0,0
seahawks,2010,7,1,0
seahawks,2009,5,0,0
seahawks,2008,4,0,0
seahawks,2007,10,1,0
seahawks,2006,9,1,0
seahawks,2005,13,3,0
steelers,2019,8,0,0
steelers,2018,9,0,0
steelers,2017,13,1,0
steelers,2016,11,2,0
steelers,2015,10,1,0
steelers,2014,11,0,0
steelers,2013,8,0,0
steelers,2012,8,0,0
steelers,2011,12,0,0
steelers,2010,12,3,0
steelers,2009,9,0,0
steelers,2008,12,4,1
steelers,2007,10,0,0
steelers,2006,8,0,0
steelers,2005,11,4,1
texans,2019,10,1,0
texans,2018,11,0,0
texans,2017,4,0,0
texans,2016,9,1,0
texans,2015,9,0,0
texans,2014,9,0,0
texans,2013,2,0,0
texans,2012,12,1,0
texans,2011,10,1,0
texans,2010,6,0,0
texans,2009,9,0,0
texans,2008,8,0,0
texans,2007,8,0,0
texans,2006,6,0,0
texans,2005,2,0,0
titans,2019,9,2,0
titans,2018,9,0,0
titans,2017,9,1,0
titans,2016,9,0,0
titans,2015,3,0,0
titans,2014,2,0,0
titans,2013,7,0,0
titans,2012,6,0,0
titans,2011,9,0,0
titans,2010,6,0,0
titans,2009,8,0,0
titans,2008,13,1,0
titans,2007,10,0,0
titans,2006,8,0,0
titans,2005,4,0,0
vikings,2019,10,1,0
vikings,2018,8,0,0
vikings,2017,13,2,0
vikings,2016,8,0,0
vikings,2015,11,0,0
vikings,2014,7,0,0
vikings,2013,5,0,0
vikings,2012,10,0,0
vikings,2011,3,0,0
vikings,2010,6,0,0
vikings,2009,12,2,0
vikings,2008,10,0,0
vikings,2007,8,0,0
vikings,2006,6,0,0
vikings,2005,9,0,0
